ISIN,SP_Rating,Moody_Rating,Currency,Is_Emerging_Market,Seniority,Callable,Days_to_Settle,Issue_Date,Collateral_Type,Coupon_Frequency,Coupon_Type,Maturity_Date,Industry_Group,Industry_Sector,Industry_SubGroup,Issuer_Name,Ticker,Country_Of_Domicile,Risk_Stripe
ISIN22,sp rating6,moody rating6,Currency0,N,Seniority2,N,2,23-Sep-13,Collateral Type2,Coupon Frequency2,Coupon Type1,23-Mar-18,Industry Group7,Industry Sector4,Industry SubGroup8,Issuer Name12,Ticker11,Country4,Stripe 1
ISIN23,sp rating5,moody rating6,Currency0,N,Seniority2,N,2,18-Apr-13,Collateral Type4,Coupon Frequency2,Coupon Type1,18-Apr-18,Industry Group8,Industry Sector2,Industry SubGroup9,Issuer Name13,Ticker12,Country6,Stripe 0
ISIN26,sp rating7,moody rating8,Currency0,N,Seniority4,N,2,16-Feb-07,Collateral Type5,Coupon Frequency2,Coupon Type1,16-Feb-17,Industry Group9,Industry Sector6,Industry SubGroup10,Issuer Name15,Ticker14,Country7,Stripe 0
ISIN28,sp rating8,moody rating8,Currency0,N,Seniority4,N,2,19-Jun-07,Collateral Type5,Coupon Frequency2,Coupon Type1,19-Jun-17,Industry Group0,Industry Sector0,Industry SubGroup11,Issuer Name16,Ticker15,Country7,Stripe 0
ISIN43,sp rating6,,Currency0,N,Seniority2,N,3,13-Mar-13,Collateral Type4,Coupon Frequency0,Coupon Type1,13-Mar-18,Industry Group1,Industry Sector0,Industry SubGroup1,Issuer Name26,Ticker23,Country9,Stripe 11
ISIN44,sp rating6,,Currency0,N,Seniority2,N,3,13-Mar-13,Collateral Type4,Coupon Frequency0,Coupon Type1,13-Mar-23,Industry Group1,Industry Sector0,Industry SubGroup1,Issuer Name26,Ticker23,Country9,Stripe 11
ISIN61,sp rating6,moody rating6,Currency0,N,Seniority2,N,3,8-May-12,Collateral Type2,Coupon Frequency0,Coupon Type1,8-May-17,Industry Group14,Industry Sector5,Industry SubGroup20,Issuer Name42,Ticker39,Country4,Stripe 2
ISIN62,sp rating6,moody rating6,Currency0,N,Seniority2,N,3,8-May-12,Collateral Type2,Coupon Frequency0,Coupon Type1,8-May-22,Industry Group14,Industry Sector5,Industry SubGroup20,Issuer Name42,Ticker39,Country4,Stripe 2
ISIN63,sp rating6,moody rating6,Currency0,N,Seniority2,N,3,8-May-12,Collateral Type2,Coupon Frequency0,Coupon Type1,8-May-42,Industry Group14,Industry Sector5,Industry SubGroup20,Issuer Name42,Ticker39,Country4,Stripe 2
ISIN64,sp rating6,moody rating6,Currency0,N,Seniority2,N,3,17-Jun-11,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Jun-21,Industry Group14,Industry Sector5,Industry SubGroup20,Issuer Name43,Ticker39,Country4,Stripe 2
ISIN67,sp rating2,moody rating9,Currency0,N,Seniority0,N,3,27-May-93,Collateral Type0,Coupon Frequency0,Coupon Type1,15-May-23,Industry Group0,Industry Sector0,Industry SubGroup13,Issuer Name45,Ticker21,Country5,Stripe 3
ISIN68,sp rating2,moody rating9,Currency0,N,Seniority0,N,3,20-Oct-93,Collateral Type0,Coupon Frequency0,Coupon Type1,15-Oct-93,Industry Group0,Industry Sector0,Industry SubGroup13,Issuer Name45,Ticker21,Country4,Stripe 3
ISIN69,sp rating10,moody rating11,Currency0,N,Seniority2,Y,3,17-Jun-13,Collateral Type2,Coupon Frequency0,Coupon Type1,30-Apr-20,Industry Group15,Industry Sector1,Industry SubGroup22,Issuer Name46,Ticker41,Country4,Stripe 0
ISIN70,sp rating6,moody rating6,Currency0,N,Seniority2,N,3,2-Feb-12,Collateral Type4,Coupon Frequency0,Coupon Type1,2-Feb-17,Industry Group0,Industry Sector0,Industry SubGroup13,Issuer Name47,Ticker42,Country5,Stripe 3
ISIN71,sp rating6,moody rating6,Currency0,N,Seniority2,N,3,30-Oct-13,Collateral Type4,Coupon Frequency0,Coupon Type1,30-Oct-18,Industry Group0,Industry Sector0,Industry SubGroup13,Issuer Name47,Ticker42,Country5,Stripe 3
ISIN72,sp rating6,moody rating6,Currency0,N,Seniority2,N,3,4-Jun-15,Collateral Type4,Coupon Frequency0,Coupon Type1,4-Jun-20,Industry Group0,Industry Sector0,Industry SubGroup13,Issuer Name47,Ticker42,Country5,Stripe 3
ISIN73,sp rating6,moody rating6,Currency0,N,Seniority2,N,3,4-Jun-15,Collateral Type4,Coupon Frequency0,Coupon Type1,4-Jun-18,Industry Group0,Industry Sector0,Industry SubGroup13,Issuer Name47,Ticker42,Country5,Stripe 3
ISIN74,sp rating11,moody rating12,Currency0,N,Seniority6,Y,3,25-Mar-11,Collateral Type6,Coupon Frequency0,Coupon Type1,1-Apr-18,Industry Group16,Industry Sector5,Industry SubGroup23,Issuer Name48,Ticker43,Country4,Stripe 0
ISIN75,sp rating10,moody rating9,Currency0,N,Seniority2,N,3,29-Apr-13,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Jul-17,Industry Group17,Industry Sector1,Industry SubGroup24,Issuer Name49,Ticker44,Country4,Stripe 9
ISIN76,sp rating10,moody rating9,Currency0,N,Seniority2,N,3,29-Apr-13,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Jul-22,Industry Group17,Industry Sector1,Industry SubGroup24,Issuer Name49,Ticker44,Country4,Stripe 9
ISIN77,sp rating10,moody rating9,Currency0,N,Seniority2,N,3,29-Apr-13,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Jul-42,Industry Group17,Industry Sector1,Industry SubGroup24,Issuer Name49,Ticker44,Country4,Stripe 9
ISIN78,sp rating10,moody rating9,Currency0,N,Seniority2,N,3,17-May-13,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Jun-23,Industry Group17,Industry Sector1,Industry SubGroup24,Issuer Name49,Ticker44,Country4,Stripe 9
ISIN79,sp rating10,moody rating9,Currency0,N,Seniority2,N,3,5-May-14,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Oct-21,Industry Group17,Industry Sector1,Industry SubGroup24,Issuer Name49,Ticker44,Country4,Stripe 9
ISIN80,sp rating10,moody rating9,Currency0,N,Seniority2,N,3,19-Mar-14,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Apr-19,Industry Group17,Industry Sector1,Industry SubGroup24,Issuer Name49,Ticker44,Country4,Stripe 9
ISIN81,sp rating10,moody rating9,Currency0,N,Seniority2,N,3,18-Dec-14,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Mar-20,Industry Group17,Industry Sector1,Industry SubGroup24,Issuer Name49,Ticker44,Country4,Stripe 9
ISIN82,sp rating12,moody rating13,Currency0,N,Seniority2,Y,3,9-Dec-13,Collateral Type2,Coupon Frequency0,Coupon Type1,1-Oct-20,Industry Group18,Industry Sector5,Industry SubGroup25,Issuer Name50,Ticker45,Country4,Stripe 0
ISIN83,sp rating13,moody rating14,Currency0,N,Seniority2,Y,3,20-Sep-11,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Apr-19,Industry Group19,Industry Sector5,Industry SubGroup26,Issuer Name51,Ticker46,Country4,Stripe 0
ISIN84,sp rating14,moody rating11,Currency0,N,Seniority6,N,3,18-Sep-00,Collateral Type6,Coupon Frequency1,Coupon Type1,30-Nov-19,Industry Group20,Industry Sector7,Industry SubGroup27,Issuer Name52,Ticker47,Country4,Stripe 0
ISIN85,sp rating14,moody rating11,Currency0,N,Seniority6,N,3,18-Sep-00,Collateral Type6,Coupon Frequency1,Coupon Type1,30-Nov-29,Industry Group20,Industry Sector7,Industry SubGroup27,Issuer Name52,Ticker47,Country4,Stripe 0
ISIN86,sp rating6,moody rating10,Currency0,N,Seniority2,N,3,17-Dec-09,Collateral Type4,Coupon Frequency0,Coupon Type1,17-Dec-39,Industry Group1,Industry Sector0,Industry SubGroup1,Issuer Name53,Ticker48,Country4,Stripe 3
ISIN87,sp rating6,moody rating10,Currency0,N,Seniority2,N,3,9-Aug-10,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Aug-40,Industry Group1,Industry Sector0,Industry SubGroup1,Issuer Name53,Ticker48,Country4,Stripe 3
ISIN88,sp rating6,moody rating10,Currency0,N,Seniority2,N,3,10-Feb-12,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Feb-17,Industry Group1,Industry Sector0,Industry SubGroup1,Issuer Name53,Ticker48,Country4,Stripe 3
ISIN89,sp rating6,moody rating10,Currency0,N,Seniority2,N,3,10-Feb-12,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Feb-22,Industry Group1,Industry Sector0,Industry SubGroup1,Issuer Name53,Ticker48,Country4,Stripe 3
ISIN90,sp rating6,moody rating10,Currency0,N,Seniority2,N,3,10-Jun-13,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Jun-23,Industry Group1,Industry Sector0,Industry SubGroup1,Issuer Name53,Ticker48,Country4,Stripe 3
ISIN91,sp rating6,moody rating10,Currency0,N,Seniority2,N,3,12-Mar-15,Collateral Type4,Coupon Frequency0,Coupon Type1,16-Mar-20,Industry Group1,Industry Sector0,Industry SubGroup1,Issuer Name53,Ticker48,Country4,Stripe 3
ISIN92,sp rating6,moody rating10,Currency0,N,Seniority2,N,3,12-Mar-15,Collateral Type4,Coupon Frequency0,Coupon Type1,17-Mar-25,Industry Group1,Industry Sector0,Industry SubGroup1,Issuer Name53,Ticker48,Country4,Stripe 3
ISIN93,sp rating0,moody rating7,Currency0,N,Seniority2,Y,3,2-May-12,Collateral Type4,Coupon Frequency0,Coupon Type1,1-Dec-21,Industry Group21,Industry Sector5,Industry SubGroup28,Issuer Name54,Ticker49,Country4,Stripe 0
ISIN94,sp rating1,moody rating4,Currency0,N,Seniority2,N,3,18-Sep-03,Collateral Type4,Coupon Frequency0,Coupon Type1,15-Feb-33,Industry Group20,Industry Sector7,Industry SubGroup29,Issuer Name55,Ticker50,Country4,Stripe 5
ISIN96,sp rating9,moody rating4,Currency0,N,Seniority2,N,3,10-Aug-09,Collateral Type2,Coupon Frequency0,Coupon Type1,15-Aug-19,Industry Group22,Industry Sector7,Industry SubGroup30,Issuer Name56,Ticker51,Country4,Stripe 5
